,text,author,created_at,bio,generator,location,hashtags
37,"@MickiBenton Ryan Helsley spoke with others from the reservation he lived on and they felt the same way. Not offended, disappointed, and there is a difference. Apparently his culture still matters to him, he still speaks Cherokee, his brother teaches Cherokee at the school on the reservation.",poettheologian,2019-10-05 05:06:26,"Created in God's image I'm a creator, ponderer, poet, & purveyor of sundry curious notions. Libertarian!","{'link': 'http://twitter.com/download/iphone', 'name': 'Twitter for iPhone'}",,[]
38,"@sarahlaughsalot @dgoold @Redskins @Braves @Indians @NHLBlackhawks @Chiefs Attention:  NO! There have been many polls done on this issue. Native Americans are overwhelmingly not offended by the names or mascots. The people who are offended are SJWs and Leftists. The Cherokee Nation advertises at Braves games so they must not be too offended,lol.",The_old_96er,2019-10-05 03:53:37,,"{'link': 'https://mobile.twitter.com', 'name': 'Twitter Web App'}",,[]
39,"@AndersonJared15 @Buster_ESPN @stltoday He was asked questions and he answered very maturely, not offended, just thinks it's not right. Nothing wrong with him, being a Cherokee and all, having that opinion. And this interview was either yesterday or before the game today so it had nothing to do with them losing.",midwestjunebug,2019-10-05 02:11:35,"Awful person, wife, mom, & STL Cards fan.","{'link': 'http://twitter.com/download/android', 'name': 'Twitter for Android'}",,[]
40,"@SyxxSynse I’m like 1/8th Cherokee and I’m not offended, so what does that mean?",allthedogsplz1,2019-10-05 02:05:23,"RN. Christian. Vols, Preds, Braves, Titans, Music, Dogs,...battling back from a brain injury since 1/28/17... 2 Corinthians 12:9-10","{'link': 'http://twitter.com/download/iphone', 'name': 'Twitter for iPhone'}",,[]
41,"@RC_None_Cola Never said I speak for anyone else. You claim “he’s Cherokee” like it’s an excuse as to why he feels the way he feels and that all natives feel that way. I’m also Cherokee and I’m not offended at all. As I said, there are bigger issues to be worried about then something so small",LSigwald,2019-10-04 23:15:34,Sports Management Major at Kennesaw State University. K.M.T - 💜2.23.14 💍 7.7.19,"{'link': 'http://twitter.com/download/iphone', 'name': 'Twitter for iPhone'}",,[]
42,@tyler_casper I'm Half Cherokee And Played The Indian.(And My Family Are Not Offended At All ) ! We're Proud People,LeeInfobob,2019-10-03 05:33:39,Hillbilly Rebel Cherokee Christian And Conservative. Born 50+ years Ago And Still Too Late. Riding The TRUMP TRAIN !,"{'link': 'http://twitter.com/download/android', 'name': 'Twitter for Android'}",,[]
43,"@taeyelash @Bookstar28 @tokkirabbit Okay hun, us Africans are telling you we're not offended and you beckys still want to argue. Let's put how 'woke' you are to the test. Name the type of 'war cry' they were 'mocking'? South African xhosa? Cherokee? Name it. I'll wait Becky 🙄",LouiseKal123,2019-09-25 00:42:23,Surviving,"{'link': 'http://twitter.com/download/android', 'name': 'Twitter for Android'}",,[]
44,@BennySeattle @St3v0_24 @JohnFugelsang @cherokee_autumn I think it's less that they're not offended but more that they're more concerned about high suicide and alcoholism rates in their communities and the abysmal way they've been treated.,EvanC68,2019-09-20 02:55:28,I don't use my photo because I either take very bad selfies...or very accurate ones,"{'link': 'http://twitter.com/#!/download/ipad', 'name': 'Twitter for iPad'}",,[]
45,@glamourvante They’re probably 3-5th generation and are using their ethnicity as token 🙄 sort of how people go “well my great great great grandmother was a Cherokee princess and I’m not offended so (real) natives shouldn’t be either!”,DONTFIGHTx2,2019-09-17 16:40:06,"🤟🤟Deaf army follow me🤟🤟 SHINEE, BTS, TXT, The Rose","{'link': 'http://twitter.com/download/iphone', 'name': 'Twitter for iPhone'}",,[]
46,@QueenSweetlipz @Redskins My great-great grandmother was full Cherokee and I am NOT offended by their name. HTTR,Loandoctor7,2019-09-15 15:17:07,"President of Commercial Lending

NO DMs","{'link': 'https://mobile.twitter.com', 'name': 'Twitter Web App'}",,[]
47,"@divyarunpai @deeps0904 @KamalaHarris Yes. I'm not offended by that.

Ppl ask me where I'm from when traveling....I'm from #America. I'm #American or I'm from the US.

That's my #Nationality. 

My ethnicity is quite different.

I'm mixed race. #Cherokee, #Black, and #White. 

Diff between Nationality &amp; Ethnicity",CherylETaylor,2019-09-08 15:55:32,"📍Living fab 50s life📍Lived/taught abroad/📍https://bit.ly/35tlT1J📍#travel not to escape life, but for life not to escape u|#unbothered by fuckery","{'link': 'http://twitter.com/download/android', 'name': 'Twitter for Android'}",,[]
48,@maurany @Dior @carolineyezer The native Americans I know are not offended.  So what's your problem? They like sharing their culture.  Black Foot and Cherokee tribes.,Melbelle2300,2019-09-03 12:27:18,Country-loving lady.  Free thinker.,"{'link': 'https://mobile.twitter.com', 'name': 'Twitter Web App'}",,[]
49,"I did n u can too sign to keep the advertising up n i am chorekee and this did not offended me.

Dior: Reinstate latest Dior Sauvage advert featuring Cherokee man and woman. - Sign the Petition! https://t.co/vzxzSMY9LJ via @Change",Amy52206578,2019-09-01 08:46:59,im here for friends and family and i am single.,"{'link': 'http://twitter.com/download/android', 'name': 'Twitter for Android'}",,[]
50,"I was not offended by @Dior Sauvage advert. I think it’s beautiful. If you feel the same, sign the petition!

Dior: Reinstate latest Dior Sauvage advert featuring Cherokee man and woman. - Sign the Petition! https://t.co/4gvs6RziXU via @Change",MTopolini,2019-09-01 05:32:43,"“The trouble with having an open mind, of course, is that people will insist on coming along and trying to put things in it.” 
― Terry Pratchett, Diggers","{'link': 'https://mobile.twitter.com', 'name': 'Twitter Web App'}",,[]
51,@yashar @Dior @LVMH My great grandmother was a full blooded Cherokee named Two Feathers and I was not offended in the least. The over sensitivity in this nation is beyond reason.,Lindsay59Donna,2019-09-01 05:23:25,,"{'link': 'https://mobile.twitter.com', 'name': 'Twitter Web App'}",,[]
52,"@guardian Last time I checked, Johnny has Native Cherokee genes, mine is Choctaw and not offended by his ad.",SusanFlores7762,2019-08-31 01:40:13,"Beaumont is my hometown . Love dolphins and seagulls,pelicans and  Galveston ferry and Taco Cabana.  Retired Veterinary Tech. Supernatural and Hero , wrestling","{'link': 'https://mobile.twitter.com', 'name': 'Twitter Web App'}",,[]
53,@ggspillthetea I'm Cherokee and lived on the reservation a large chunk of my life. Maybe I'm just a chill person but I'm not offended. The shade names could have had more care put in but at least this was a semi positive on our culture as opposed to the sports mascots and casino ads. 🤷‍♀️,toxikbubblegum,2019-08-09 11:20:47,Hey everyone! I'm a geeky housewife married to the ass hole of my dreams and a new mom that has no idea what she's doing. I love cats and I say fuck a lot.,"{'link': 'http://twitter.com/download/android', 'name': 'Twitter for Android'}",,[]
54,"@denvernight @IlhanMN My grandmother was a Cherokee so I’m sort of a person of color.
And yeppers she’s wrong.
I’m not offended by the president but I am offended by Elizabeth Warren. 🤬",RobbyTheremin,2019-07-20 05:54:32,Heavily armed redneck. 25% Cherokee. Pronouns: 7.62X39. @MAJTOURE @JessieJaneDuff @Joy_Villa @AP4Liberty @toddstarnes @WayneDupreeShow Resist = BLOCK.,"{'link': 'http://twitter.com/download/iphone', 'name': 'Twitter for iPhone'}",,[]
55,"mercy is your ""i'm not white, i'm european"" kind of white girl, ashe is your ""i'm 1/64th cherokee and i'm not offended"" kind of white girl",buffpharah,2019-07-13 20:39:27,ndn. hungarian. redneck passing. ✡,"{'link': 'http://twitter.com/download/android', 'name': 'Twitter for Android'}",,[]
56,"@Msbeervendor @Indians Funny. I'm Cherokee and I'm not offended by the name. The Washington REDSKINS and the Atlanta Braves ""tomahawk chop"" are far more offensive.",newc11,2019-07-10 03:38:35,Sometimes my greatest accomplishment is just keeping my mouth shut.,"{'link': 'http://twitter.com/download/iphone', 'name': 'Twitter for iPhone'}",,[]
57,"@CanesEDIT @MiamiGlitterGrl Where’s the natives that are offended by it? I live miles from one of the biggest tribes National capitols in Oklahoma. My wife and kids all belong  to Choctaw,Cherokee, and creek tribes. Everyone I know are VERY conservative and def not offended by the pledge",PadenTyrel,2019-07-02 11:37:47,Business owner. Traveler. former college golfer. just here,"{'link': 'http://twitter.com/download/iphone', 'name': 'Twitter for iPhone'}",,[]
58,"@ewarren congrats on tonight's debate.and as a cherokee indian if Trump calls you pocahontas. You call him ""sitting bullshit"" I was not OFFENDED by what you were raised to believe was your heritage.",spiritchaser47,2019-06-27 05:27:56,"Wife,mother, democrate,#resistance #indivisible#impeach Trump
Christian, pro-choice,pro LBGTQ, INDIAN
SOON 2 B PRESIDENTIAL CANDIDATE 2020 (D)","{'link': 'http://twitter.com/download/android', 'name': 'Twitter for Android'}",,[]
59,"We get mad about that too, and stop telling us what we need and don’t need to be mad or offended by. You’re not a Native so stay out of our business..waiting for the but I’m Native and not offended excuse, or the my great grandma’s Cherokee. Btw I’m offended by your Sioux handle https://t.co/UXn2NWBpFm",Force10Rulz,2019-06-20 20:09:10,"Atheist, itówapi káǧa, Sihá Sapa Lakhòta, Irish, ákhilečheča, Two Spirit, she/they/them Indigenousrising BlackLivesMatter, MMIW mní wičhóni","{'link': 'http://twitter.com/#!/download/ipad', 'name': 'Twitter for iPad'}",,[]
60,"@prageru @thewillwitt I'm part Cherokee my kids are Cherokee, Comanche and Kiowa. It's 2019 were not offended unless it's just a blatant offense but then wouldn't any of us not be? These native men and women have great responses.",PaulSta89336750,2019-06-14 20:59:49,The Dude abides.....,"{'link': 'http://twitter.com/download/android', 'name': 'Twitter for Android'}",,[]
61,"@adam22 Hey look at that im cherokee and not offended, shut up white people.",horeeshite,2019-06-02 22:27:48,Shitposting is an art,"{'link': 'http://twitter.com/download/iphone', 'name': 'Twitter for iPhone'}",,[]
62,"@cthagod @breakfastclubam I am Native and am not offended about Warren. In the 70's, every white person was Cherokee, that was the joke. Dolenzal was white and knew for sure she wasn't black. Where is the comparison?",lins18,2019-05-31 18:13:22,"Humanity & Compassion, with a lot of Bratty Pueblo thrown in. I find the unethical broken,need fixing. But how?#resist","{'link': 'http://twitter.com', 'name': 'Twitter Web Client'}",,[]
63,"@Pichu445 @Srigane86591514 @Sqwitter @The_Real_Isucc @Anonimo1322002 @ProductsIndian @Fahket5 @gabby00998821 @pewdiepie Ditto. My family is from Scotland and part of my mother's side is Native American, the Cherokee. Im not offended by things that are actually funny depicting them because it's not serious.",SoraDaKeybladeM,2019-04-30 03:45:31,"Tʜᴇ ʜᴇᴀʀᴛ ᴍᴀʏ ʙᴇ ᴡᴇᴀᴋ ᴀɴᴅ ꜱᴏᴍᴇᴛɪᴍᴇꜱ ɪᴛ ᴍᴀʏ ᴇᴠᴇɴ ɢɪᴠᴇ ɪɴ. Bᴜᴛ I'ᴠᴇ ʟᴇᴀʀɴᴇᴅ ᴛʜᴀᴛ ᴅᴇᴇᴘ ᴅᴏᴡɴ, ᴛʜᴇʀᴇ'ꜱ ᴀ ʟɪɢʜᴛ ᴛʜᴀᴛ ɴᴇᴠᴇʀ ɢᴏᴇꜱ ᴏᴜᴛ!","{'link': 'http://twitter.com/download/android', 'name': 'Twitter for Android'}",,[]
64,@mclanelfn I have Cherokee in me and I’m not offended having a day for Columbus. Time to get over what happened learn from it remember it and continue to Make America Great,TXBonnieJean,2019-04-28 17:38:55,🦅Air Force Brat🇺🇸 #Trump2020 #PolishProud 🇵🇱 #Dlugosz #TexasProud Desc of TX Ranger Johann #Dugosh Capt. Mitchels Co #MAGA #Hookem NO TRAINS and TAKEN,"{'link': 'http://twitter.com/download/iphone', 'name': 'Twitter for iPhone'}",,[]
65,"@EarlLemieux @PSkinsfan @Redskins Right, bc that's exactly what our logo represents. Im part Cherokee and Im not offended in the least. In fact, I take pride in it. Just one more thing for softees to complain about.",CaptBailey,2019-04-28 03:20:12,"We've come for your daughter, Chuck.

 

Betelgeuse","{'link': 'http://twitter.com/download/android', 'name': 'Twitter for Android'}",,[]
66,@tyquta @PeckinsMatt @ShannonSharpe As a Cherokee im not offended but what’s more offensive is blacks voting democrat the same party that created the KKK and supported segregation,warrenjkins,2019-04-04 09:20:44,"just a regular guy who loves sports and open to all discussions and living life to the fullest, Bills , Sabres, EX Democratic now trump Republican🇱🇷","{'link': 'http://twitter.com/download/iphone', 'name': 'Twitter for iPhone'}",,[]
67,"white ppl: used to ask if my mom was an indian princess/s***w, called me pocahontas my entire childhood, constantly touched my hair w/o permission
white ppl as soon as i speak up abt cultural appropriation: UHH I'M A 16TH CHEROKEE AND I'M NOT OFFENDED YOU'RE JUST SOME WHITE SAVIO",dumpstercryptid,2019-04-02 23:45:06,"nate (aka pest): ancom, vegan, antifa. mixed race queer trans dude. 33. he/they. art & fursuits. no racists, no bigots, no ableists, no tolerance. ♡@purralian♡","{'link': 'http://twitter.com', 'name': 'Twitter Web Client'}",,[]
68,"@kind7ed God, furries are so annoying.
Indigenous people: ""Hey, this piece is offensive because it depicts sacred parts of Native culture in a wa-""
""LOOOOOOOL NO NOT IT'S NOT STUPID SJW GROW THICKER SKIN I'M LIKE 1/69TH CHEROKEE AND IM NOT OFFENDED 😂😂""",sssoftcxre,2019-04-02 23:29:05,"tripp is my name.
please do not inquire about trades/requests. for commission info please check my pinned tweet.","{'link': 'http://twitter.com/download/android', 'name': 'Twitter for Android'}",,[]
69,"@TaraTomahawk At my work we have a sign on the ladies room that says Squaws. One customer was INFURIATED. I say ""well the owner was raised in the Cherokee rez, she hung it there and if she's not offended by it you shouldn't be either!"" Crazy nosey people .",mudlarker25,2019-03-23 14:24:07,"Mom, wife, dog mom, waitress.  I am a Mudlarker. I love to read. I like to learn about different people, I do NOT like Trump.$KIMBERLY1911","{'link': 'https://mobile.twitter.com', 'name': 'Twitter Web App'}",,[]
70,@jonmladd Hey buddy I'm CHEROKEE AND I'M NOT OFFENDED I ALSO LIVE IN OKLAHOMA (TRIBAL LAND) MY ? FOR YOU IS HOW IS HIS COMMENT RACIST IF WE AREN'T OFFENDED ? AND IF YOU AREN'T NATIVE WHY WOULD YOU BE ? AREN'T WE SMART ENOUGH TO SPEAK FOR OURSELVES ?,JamesRe06470554,2019-02-12 02:55:16,"Pro 
LIFE , Christian ,REDNECK MAGA NO DATES","{'link': 'http://twitter.com/download/android', 'name': 'Twitter for Android'}",,[]
